site,Landuse,mean depth (cm),EOC(g_gSoil),SOC(g_gSoil)
R2H1,Hardwood,0,0.00014935,0.022
R7H1,Hardwood,0,0.000144924,0.0171
R7H2,Hardwood,0,0.000195838,0.03
R7H1,Hardwood,45,0.000232662,0.002564
R1H1,Hardwood,45,9.97524E-05,0.004387
R4H1,Hardwood,45,0.000168385,0.00375
R1H1,Hardwood,125,2.89741E-05,0.00055
R4H1,Hardwood,125,8.99121E-05,0.000662
R7H1,Hardwood,125,2.86809E-05,0.000817
R1H1,Hardwood,175,1.86991E-05,0.000367
R4H1,Hardwood,175,5.36976E-05,0.000519
R7H1,Hardwood,175,2.87256E-05,0.000471
R1H1,Hardwood,275,1.56581E-05,0.000307
R4H1,Hardwood,275,3.76149E-05,0.000485
R7H1,Hardwood,275,1.4225E-05,0.000241
R7H1,Hardwood,450,3.27794E-05,0.000188
R1H1,Hardwood,450,3.08114E-05,0.000122
R4H1,Hardwood,450,1.54463E-05,0.000089
R2P1,Pine,0,0.000149672,0.0173
R7P1,Pine,0,8.67043E-05,0.028
R7P1,Pine,0,0.000277305,0.0674
R7P1,Pine,45,9.81289E-05,0.005301
R1P1,Pine,45,0.000132636,0.004284
R4P1,Pine,45,0.00014036,0.004404
R1P1,Pine,125,1.73964E-05,0.000492
R4P1,Pine,125,3.59716E-05,0.001697
R7P1,Pine,125,1.27676E-05,0.000649
R1P1,Pine,175,8.04277E-06,0.000341
R4P1,Pine,175,1.10453E-05,0.000782
R7P1,Pine,175,1.00697E-05,0.000389
R1P1,Pine,275,3.85409E-06,0.000182
R4P1,Pine,275,2.02511E-05,0.000482
R7P1,Pine,275,0,0.000225
R7P1,Pine,450,5.77795E-06,0.000163
R1P1,Pine,450,0,0.000126
R4P1,Pine,450,3.21599E-06,0.000115
