Site,Landuse,Depth,Ca,Mg,K,P
R2H1,Hardwood,0,0.0929097,0.0844354,4.0782951,0.021821
R2H1,Hardwood,14,0.0786159,0.0844354,4.2028866,0.0130926
R2H1,Hardwood,25,0.0643221,0.0904665,4.5351306,0.0130926
R2H1,Hardwood,35,0.1000566,0.1568086,4.4603757,0.0043642
R2H1,Hardwood,62.5,0.0428814,0.1568086,4.2942537,0.0087284
R2H1,Hardwood,105,0.0500283,0.1568086,5.0085783,0.021821
R2H1,Hardwood,140,0.0357345,0.1447464,5.3657406,0.0130926
R2H1,Hardwood,187.5,0.0428814,0.1387153,5.2909857,0.0087284
R7H1,Hardwood,0,0.0428814,0.1085598,0.747549,0.0174568
R7H1,Hardwood,18,0.0142938,0.1447464,0.5980392,0.0174568
R7H1,Hardwood,53,0.0071469,0.1749019,0.3571623,0.0261852
R7H1,Hardwood,94,0.0214407,0.241244,0.2657952,0.0305494
R7H1,Hardwood,129,0.00071469,0.2291818,0.332244,0.021821
R7H1,Hardwood,174,0.0071469,0.3196483,0.3820806,0.021821
R7H2,Hardwood,0,0.0571752,0.1266531,0.6229575,0.021821
R7H2,Hardwood,21,0.0428814,0.1326842,0.6229575,0.021821
R7H2,Hardwood,58,0.0357345,0.1507775,0.5897331,0.021821
R7H2,Hardwood,102.5,0.0142938,0.1749019,0.5315904,0.0305494
R7H2,Hardwood,131.5,0.0071469,0.1688708,0.4651416,0.0174568
R7H2,Hardwood,171.5,0.00071469,0.1447464,0.3073257,0.0261852
R2P1,Pine,0,0.0571752,0.1387153,2.4336873,0.00043642
R2P1,Pine,35,0.0500283,0.3377416,0.913671,0.0174568
R2P1,Pine,66,0.0285876,0.3196483,2.6911764,0.0087284
R2P1,Pine,83.5,0.0500283,0.6151722,1.1296296,0.0130926
R2P1,Pine,100,0.0285876,0.4583636,2.3506263,0.00043642
R2P1,Pine,118.5,0.0214407,0.1507775,5.482026,0.0087284
R2P1,Pine,174.5,0.0285876,0.2231507,5.5235565,0.0087284
R7P2,Pine,0,0.142938,0.0422177,0.9635076,0.00043642
R7P2,Pine,5.5,0.0500283,0.0361866,1.2957516,0.00043642
R7P2,Pine,12,0.0357345,0.0361866,1.1711601,0.00043642
R7P2,Pine,36,0.0142938,0.1145909,0.5149782,0.0130926
R7P2,Pine,69.5,0.0142938,0.1266531,0.2159586,0.0130926
R7P2,Pine,99,0.0142938,0.1447464,0.2076525,0.0174568
R7P2,Pine,143.5,0.0071469,0.1387153,0.166122,0.0174568
R7P2,Pine,188,0.0142938,0.2291818,0.2574891,0.021821
R7P1,Pine,0,0.1214973,0.1085598,1.0880991,0.0261852
R7P1,Pine,15,0.0500283,0.1025287,1.1462418,0.021821
R7P1,Pine,32.5,0.0500283,0.1326842,1.0964052,0.021821
R7P1,Pine,60,0.0571752,0.1507775,0.9552015,0.021821
R7P1,Pine,89,0.0285876,0.1507775,0.7226307,0.0130926
R7P1,Pine,125.5,0.0214407,0.1145909,0.4069989,0.0130926
R7P1,Pine,152,0.0214407,0.1387153,0.4900599,0.0130926
