Land_Use,Slope,Depth,Resin Pi,HCO3(Po),HCO3(Pi),NaOH(Po),NaOH(Pi),(1M)HCL,Con.HCL(Po),Con.HCL(Pi),Residual,Total Recovery,Independent,MehlichIII ,TotalPo,TotalPi,MeanDepth
Pine,Up,0-7.5,5.62,10.52,3.82,39.63,8.61,2.11,5.97,20.83,173.25,270.35,263.39,8.03,142.74,212.12,0
Pine,Up,7.5-15,1.79,5.33,1.51,18.49,7.05,0.77,3.09,17.15,191.38,246.56,209.79,5.83,122.6,218.88,11.25
Pine,Up,15-35,0.61,3.08,0.55,20.19,9.5,0.58,2.54,24.12,187.96,249.13,206.22,3.84,119.78,222.74,25
Pine,Up,35-60,0.96,0.47,0.55,5.73,8.11,0.56,1.37,49.42,188.77,255.94,214.7,3.45,101.96,247.81,47.5
Pine,Up,60-100,0.64,0.79,0.39,6.13,4.8,1.25,2.74,45.23,186.04,247.99,202.99,3.1,102.67,237.09,80
Pine,Up,100-150,0.23,0.26,0.23,16.4,9.8,0.58,2.48,84.94,209.78,324.69,277.93,3.29,124.03,304.97,125
Pine,Up,150-200,0.56,0.58,0.23,11.77,8.6,0.33,1.91,81.51,222.44,327.93,295.47,3.59,125.48,313.34,175
Hardwood,Up,0-7.5,2.64,11.46,3.76,29.02,11.63,1.72,3.44,50.92,209.91,324.49,519.71,4.9,148.87,278.85,0
Hardwood,Up,7.5-15,0.53,6.87,2.4,24.39,10.13,1.41,3.19,45.86,178.38,273.17,499.77,4.31,123.64,237.31,11.25
Hardwood,Up,15-35,2.39,3.28,1.04,14.75,13.07,0.66,2.04,39.99,207.69,284.9,480.14,1.78,123.91,264.18,25
Hardwood,Up,35-60,0.41,1.05,0.48,7.92,11.55,0.46,7.65,60.63,166.86,257,393.46,1.02,100.04,239.93,47.5
Hardwood,Up,60-100,1.25,0.43,0.42,6.11,10.93,0.5,0.91,134.5,223.81,378.85,520.32,0.76,119.35,370.9,80
Hardwood,Up,100-150,1.89,0.09,0.2,1.16,6.88,1.76,2.41,87.24,252.23,353.87,536.01,0.89,129.78,348.44,125
Hardwood,Up,150-200,0.29,0.36,0.48,1.08,5.84,0.84,4.25,101.99,212.96,328.08,541.98,0.79,112.16,321.55,175
Pine,Mid,0-7.5,9.25,8.35,4.27,32.36,8.63,2.65,0.23,23.94,200.58,290.28,288.9,11.29,141.24,246.67,0
Pine,Mid,7.5-15,8.67,3.27,2.04,16.24,7.78,1.91,0.11,24.36,197.25,261.63,268.6,12.8,118.24,240.1,11.25
Pine,Mid,15-35,7.87,0.76,0.22,10.13,8.42,1.12,0.09,21.8,195.71,290.47,297.58,6.06,108.83,234.02,25
Pine,Mid,35-60,4.35,0.05,0.51,5.24,7.28,1.06,0.08,40.91,174.43,280.69,308.72,2.87,92.59,227.48,47.5
Pine,Mid,60-100,4.84,0.08,1.05,2.34,7.26,1.75,0.09,48.63,154.32,262.44,264.54,2.65,79.68,216.09,80
Pine,Mid,100-150,6.51,0.05,0.42,0.35,8.52,1.05,0.04,75.94,273.26,366.13,366.16,3.31,137.07,364.64,125
Pine,Mid,150-200,3.93,0.1,1.21,0.14,12.37,4.51,0.01,129.94,293.75,445.96,435.81,5.3,147.13,441.2,175
Hardwood,Mid ,0-7.5,7.42,14.59,7.5,61.58,20.69,4.61,0.17,52.12,177.71,346.39,341.54,9.5,165.19,265.44,0
Hardwood,Mid ,7.5-15,3.38,6.05,4.19,35.31,15.93,2.44,0.06,51.6,217.91,336.87,341.46,4.6,150.37,293.01,11.25
Hardwood,Mid ,15-35,3.36,0.8,1.77,21.66,14.09,1.7,0.03,62.64,223.62,330.19,364.65,1.97,134.3,305.47,25
Hardwood,Mid ,35-60,2.67,0.21,0.82,10.2,13.71,1.54,0.04,78.21,243.05,350.44,395.01,1.87,131.97,338.45,47.5
Hardwood,Mid ,60-100,4.55,0.17,0.56,3.44,10.55,4.01,0.02,66.71,240.58,330.61,337.34,1.91,123.93,322.96,80
Hardwood,Mid ,100-150,5.62,0.07,1.4,0.64,10.35,7.94,0.03,80.62,183.97,290.64,329.7,3.71,92.72,281.97,125
Hardwood,Mid ,150-200,3.87,0.97,1.77,0.67,8.51,9.39,0.02,54.35,193.58,273.15,306.08,2.83,98.46,262.09,175
Pine,Low,0-7.5,8.48,12.83,7.77,53.24,17.05,7.01,0.2,35.67,135.21,277.452,263.39,10.39,133.87,204.17,0
Pine,Low,7.5-15,3.78,5.48,2.16,25.36,13.34,3.15,0.07,37.35,137.57,228.264,209.79,5.39,99.69,194.2,11.25
Pine,Low,35-60,1.72,1.64,0.32,10.05,7.07,1.67,0.03,35.2,124.26,181.956,214.7,2.96,73.85,168.57,47.5
Pine,Low,60-100,3.52,0.24,0.16,4.44,5.75,1.62,0.04,42.4,131.8,189.955,202.99,2.81,70.61,183.62,80
Pine,Low,100-150,3.31,0.33,1.15,2.16,17,5.27,0.02,70.93,166.03,266.208,277.93,5.98,85.53,258.42,125
Pine,Low,150-200,1.33,0.25,4.06,0.75,25.03,12.81,0.04,79.18,175.24,298.696,295.47,5.84,88.67,284.84,175
Hardwood,Low ,0-7.5,4.08,11.06,6.57,84.13,29.69,7.64,0.19,61.55,275.23,480.135,519.71,12.13,232.99,377.12,0
Hardwood,Low ,7.5-15,2.31,8.72,9.25,61.41,25.66,5,0.07,58.42,291.27,462.102,499.77,4.77,215.83,386.91,11.25
Hardwood,Low ,15-35,2.16,3.4,3.32,34.22,25.6,4.39,0.05,86.19,277.87,437.197,480.14,2.12,176.61,395.13,25
Hardwood,Low ,35-60,4.95,0.74,1.22,13.36,18.33,1.65,0.02,66.65,393.46,500.393,393.46,2.63,210.86,484.62,47.5
Hardwood,Low ,60-100,1.38,0.52,0.65,5.29,11.31,1.15,0.03,83.71,406.16,510.199,520.32,1.68,208.91,503.21,80
Hardwood,Low ,100-150,1.51,0.13,0.5,2.3,12.26,1.45,0.02,88.1,371.75,478.022,536.01,1.74,188.33,474.12,125
Hardwood,Low ,150-200,2.43,0.2,2.35,1.42,15.52,3.87,0,97.25,381.56,504.61,541.98,3.85,192.41,499.11,175
