site,landuse,landform,Depth,Horizon,fractroots,finerootfrac
R2H1,hardwood,interfluve,1,A,0.6,0.666666667
R2H1,hardwood,interfluve,2,A,0.6,0.666666667
R2H1,hardwood,interfluve,3,A,0.725,0.724137931
R2H1,hardwood,interfluve,4,A,0.775,0.483870968
R2H1,hardwood,interfluve,5,A,0.725,0.586206897
R2H1,hardwood,interfluve,6,A,0.625,0.64
R2H1,hardwood,interfluve,7,A,0.65,0.769230769
R2H1,hardwood,interfluve,8,A,0.55,0.681818182
R2H1,hardwood,interfluve,9,E,0.6,0.583333333
R2H1,hardwood,interfluve,10,E,0.45,0.5
R2H1,hardwood,interfluve,11,E,0.55,0.636363636
R2H1,hardwood,interfluve,12,E,0.525,0.428571429
R2H1,hardwood,interfluve,13,E,0.525,0.523809524
R2H1,hardwood,interfluve,14,E,0.575,0.652173913
R2H1,hardwood,interfluve,15,E,0.4,0.6875
R2H1,hardwood,interfluve,16,E,0.475,0.578947368
R2H1,hardwood,interfluve,17,E,0.5,0.75
R2H1,hardwood,interfluve,18,E,0.375,0.733333333
R2H1,hardwood,interfluve,19,E,0.525,0.80952381
R2H1,hardwood,interfluve,20,E,0.55,0.681818182
R2H1,hardwood,interfluve,21,EB,0.4,0.75
R2H1,hardwood,interfluve,22,EB,0.4,0.8125
R2H1,hardwood,interfluve,23,EB,0.425,0.823529412
R2H1,hardwood,interfluve,24,EB,0.425,0.705882353
R2H1,hardwood,interfluve,25,EB,0.375,0.733333333
R2H1,hardwood,interfluve,26,EB,0.275,0.909090909
R2H1,hardwood,interfluve,27,EB,0.4,0.875
R2H1,hardwood,interfluve,28,EB,0.3,0.666666667
R2H1,hardwood,interfluve,29,EB,0.375,0.8
R2H1,hardwood,interfluve,30,EB,0.35,0.571428571
R2H1,hardwood,interfluve,31,BE,0.4,0.6875
R2H1,hardwood,interfluve,32,BE,0.525,0.761904762
R2H1,hardwood,interfluve,33,BE,0.4,0.8125
R2H1,hardwood,interfluve,34,BE,0.35,0.714285714
R2H1,hardwood,interfluve,35,BE,0.35,0.857142857
R2H1,hardwood,interfluve,36,BE,0.275,1
R2H1,hardwood,interfluve,37,BE,0.3,1
R2H1,hardwood,interfluve,38,BE,0.475,0.842105263
R2H1,hardwood,interfluve,39,BE,0.45,0.777777778
R2H1,hardwood,interfluve,40,BE,0.3,0.833333333
R2H1,hardwood,interfluve,41,Bt,0.4,0.8125
R2H1,hardwood,interfluve,42,Bt,0.4,0.75
R2H1,hardwood,interfluve,43,Bt,0.35,0.785714286
R2H1,hardwood,interfluve,44,Bt,0.25,0.9
R2H1,hardwood,interfluve,45,Bt,0.25,0.8
R2H1,hardwood,interfluve,46,Bt,0.35,0.857142857
R2H1,hardwood,interfluve,47,Bt,0.275,0.909090909
R2H1,hardwood,interfluve,48,Bt,0.325,0.769230769
R2H1,hardwood,interfluve,49,Bt,0.35,0.5
R2H1,hardwood,interfluve,50,Bt,0.3,0.666666667
R2H1,hardwood,interfluve,51,Bt,0.2,0.625
R2H1,hardwood,interfluve,52,Bt,0.15,0.833333333
R2H1,hardwood,interfluve,53,Bt,0.125,1
R2H1,hardwood,interfluve,54,Bt,0.25,1
R2H1,hardwood,interfluve,55,Bt,0.125,1
R2H1,hardwood,interfluve,56,Bt,0.15,0.833333333
R2H1,hardwood,interfluve,57,Bt,0.225,1
R2H1,hardwood,interfluve,58,Bt,0.175,1
R2H1,hardwood,interfluve,59,Bt,0.25,0.7
R2H1,hardwood,interfluve,60,Bt,0.275,0.727272727
R2H1,hardwood,interfluve,61,Bt,0.175,0.571428571
R2H1,hardwood,interfluve,62,Bt,0.2,0.625
R2H1,hardwood,interfluve,63,Bt,0.125,0.8
R2H1,hardwood,interfluve,64,Bt,0.175,0.285714286
R2H1,hardwood,interfluve,65,Bt,0.175,0.714285714
R2H1,hardwood,interfluve,66,Bt,0.225,0.777777778
R2H1,hardwood,interfluve,67,Bt,0.15,0.833333333
R2H1,hardwood,interfluve,68,Bt,0.225,0.777777778
R2H1,hardwood,interfluve,69,Bt,0.225,0.555555556
R2H1,hardwood,interfluve,70,Bt,0.2,0.375
R2H1,hardwood,interfluve,71,Bt,0.2,0.375
R2H1,hardwood,interfluve,72,Bt,0.2,0.625
R2H1,hardwood,interfluve,73,Bt,0.225,0.777777778
R2H1,hardwood,interfluve,74,Bt,0.2,1
R2H1,hardwood,interfluve,75,Bt,0.225,0.333333333
R2H1,hardwood,interfluve,76,Bt,0.175,0.571428571
R2H1,hardwood,interfluve,77,Bt,0.125,0.8
R2H1,hardwood,interfluve,78,Bt,0.225,0.666666667
R2H1,hardwood,interfluve,79,Bt,0.2,0.375
R2H1,hardwood,interfluve,80,Bt,0.25,0.4
R2H1,hardwood,interfluve,81,Bt,0.275,0.636363636
R2H1,hardwood,interfluve,82,Bt,0.075,0.333333333
R2H1,hardwood,interfluve,83,Bt,0.15,0.833333333
R2H1,hardwood,interfluve,84,Bt,0.075,0.666666667
R2H1,hardwood,interfluve,85,Bt,0.05,0.5
R2H1,hardwood,interfluve,86,B,0.15,0.5
R2H1,hardwood,interfluve,87,B,0.125,0.4
R2H1,hardwood,interfluve,88,B,0.075,1
R2H1,hardwood,interfluve,89,B,0.075,1
R2H1,hardwood,interfluve,90,B,0.075,1
R2H1,hardwood,interfluve,91,B,0.05,0.5
R2H1,hardwood,interfluve,92,B,0.1,0.5
R2H1,hardwood,interfluve,93,B,0.15,0.333333333
R2H1,hardwood,interfluve,94,B,0.125,0.6
R2H1,hardwood,interfluve,95,B,0.025,0
R2H1,hardwood,interfluve,96,B,0.025,1
R2H1,hardwood,interfluve,97,B,0.025,1
R2H1,hardwood,interfluve,98,B,0.1,0.75
R2H1,hardwood,interfluve,99,B,0.125,0.6
R2H1,hardwood,interfluve,100,B,0.025,1
R2H1,hardwood,interfluve,101,B,0.1,1
R2H1,hardwood,interfluve,102,B,0.075,1
R2H1,hardwood,interfluve,103,B,0.05,1
R2H1,hardwood,interfluve,104,B,0.1,0.5
R2H1,hardwood,interfluve,105,B,0.075,1
R2H1,hardwood,interfluve,106,B,0.05,1
R2H1,hardwood,interfluve,107,B,0.1,0.75
R2H1,hardwood,interfluve,108,B,0.05,1
R2H1,hardwood,interfluve,109,B,0.025,1
R2H1,hardwood,interfluve,110,B,0.025,1
R2H1,hardwood,interfluve,111,B,0.075,1
R2H1,hardwood,interfluve,112,B,0.05,0.5
R2H1,hardwood,interfluve,113,B,0.025,0
R2H1,hardwood,interfluve,114,B,0.075,0.666666667
R2H1,hardwood,interfluve,115,B,0.025,1
R2H1,hardwood,interfluve,116,B,0.075,1
R2H1,hardwood,interfluve,117,B,0.1,1
